key,source,Translation
61A6C598448FC2000472CAAD0FA16726, Battery,バッテリー
D015228A40A78FA42B18F8B7B6DB61D4, Condition,状態
1DE742984A083081077685920991836F, Experimental,実験的
EFD7A1254F9C2C39CBFAEE957C07F225, Fuel,燃料
41D2BE0D4A950C71A37C9B992D537C6A, PSI,PSI
3A80B5934E262ED76E9ABDBA03914BE1, per sq. m.,1平方メートルあたり
317AFAA04884CB2B9D2952864ECBCF67, to get a perk.,に習得可能なパークがあります。
2744CE9C46C06ECF827A91B99798C44E,"""America"" Flag",「アメリカ」国旗
18901C7B40CC7798041B4CBEAAC89294,"""Fair prices, always. That's Frank's promise!""",「いつでも適正価格。それがフランクのお約束です！」
C5EA20B94A9EB946E9D29EB2CFA07AC9,"""Fair prices, always. That's Frank's promise!""",「いつでも適正価格。それがフランクのお約束です！」
FDC848BF493383FA461F91853C6FC986,"""For God's sake, man!""",「ちくしょう、開けよ！」
2ADAA88A4059DB75B4D45296CF22F2EC,"""Hand"" Grenade",「手」榴弾
AD2686BE44636AB1E2C11F8CE1680C55,"""Hand"" Grenade",「手」榴弾
88A3D7244F5A545FE49033B98A6486B8,"""In a wreck? Call Heck!""",「事故に遭った？ヘックにご連絡を！」
1527C4464C09D13AFE06E7B2EF2AECC6,"""Nectar"" Jar",「蜜」瓶
BDF4AD254E0A7481F291B59BA3552E68,"""Private"" means the server won't appear in the server browser.",「プライベート」とは、サーバーがサーバー ブラウザーに表示されないことを意味します。
B3F805674565E357DB9DA1B2AB45125E,"""You take a sip from your trusty canteen.""",「頼れる水筒から一口飲む」
C58E0F104DE4C48D0E5C88929CFCBB82,"""You take a sip from your trusty insulated canteen.""",「頼れる断熱水筒から一口飲む」
3219A53F47D41C713877ABA84080DF3E,$,$
4591D096429DE63DC8C12A8A260A20DC,$1 CAD,$1 CAD
C5573E2B4E362A799BD8BEB34A4F49AA,$1 USD,$1 USD
418C1A584A6F34B16EEDC1A811D73A7B,${Dollars},${Dollars}
2B9CA4A54895FAAB4F2C6E9F31F34902,(Almost) everything can be thrown.,（ほぼ）何でも投げられます。
7FCEE7394002353CCD52F69CD8FA1850,(Default is 0.06),（デフォルトは0.06）
46F8943D40217862746ED5BEBCBDADFD,(Default is 0.3),（デフォルトは0.3）
29FF1ACE4682703FD7F7A69D733012A7,"(HOUSE KIT, USE FLAT ROOF)",（ハウスキット、平らな屋根を使用）
B8BCA7BB4D7F3AC12F9B9B8BA9D9AE3D,+1 day,+1日
8B2D6F9646968758073D6BB3B5228040,+1 hour,+1時間
D066EF1741868A90AAC07E8F6AC5D279,+1 month,+1ヶ月
933AF96E45192EBC3F1FC282283AC239,+1 year,+1年
4D227B9C469F79259D3B5C9618A45ACD,- Basic<cf>- Heavy,- 基本<cf>- ヘビー
CF9BF3C845F4F931D53FD6AAA5CBED02,- Basic<cf>- Heavy,- 基本<cf>- ヘビー
75BD859344EE69BA602C8A987265D00A,- Basic<cf>- Heavy<cf>- Industrial,- 基本<cf>- 重<cf>- 工業
DAA0EA334869133AECBC37ACC799FFAF,- Basic<cf>- Heavy<cf>- Industrial<cf>- Powered<cf>- Hydraulic,- 基本<cf>- 重機<cf>- 産業用<cf>- 動力付き<cf>- 油圧式
234D85A04A1444C91BCF9D9F1472EED2,- Basic<cf>- Industrial,- 基礎<cf>- 産業
3D03A167401A24422188459CC2B3366D,- Digging<cf>- Mining<cf>- Wrench,- 掘削<cf>- 採掘<cf>- レンチ
F40AA3CA42F338FB508409ADCC31C736,- Pan<cf>- Pot<cf>- Oven Dish,- フライパン<cf>- 鍋<cf>- オーブン皿
F989DF0449211032CB1BE8A93748D8B0,- Powered,- パワード
A8741C514C03A45D7250D4AC7C08994D,- Screwdriver<cf>- Powered<cf>- Industrial<cf>- Hydraulic,- ドライバー<cf>- 電動<cf>- 産業用<cf>- 油圧式
1F3BC0D2437B4F3C5DF12DBC8A5F4C2B,-1 day,-1日
4CF78DF745EF724ED5CCCD97AF405032,-1 hour,-1時間
1486B205418C3DD4206458AF968F6A60,-1 month,-1ヶ月
69DCF22942B8ACE67D04A2BE047C93E9,-1 year,-1年
08620FE74E4CE85733172B9A62BEA781,.357 Magnum Round,.357 マグナム弾
F56A8D994D65770E0E921184A70365C5,.38 Special Round,.38 スペシャル弾
306B6FC440FEFE9C34BD2F94826EC324,.45 ACP Round,.45 ACP弾
37B831BD40E5AC2D30B5279FB2BC0D0C,.50 BMG,.50 BMG
F79A15F549CB663A366DC6BC8381BC3D,/a - Speak to admins.,/a - 管理者に話しかけます。
A2AA2B2C490D6DA5B45A019748AEBDFF,/g - Speak to everyone on the server.,/g - サーバー上の全員に話しかけます。
A0A0F3F04D6C9C8A2BE15CA1A37EDEBA,/l - Speak to people nearby you. This is the default option.,/l - 近くにいる人に話かけます。これがデフォルトのオプションです。
11BEF6384961235E0218429BA70A1913,"/r - Speak over a radio, if you have one.",/r - ラジオをお持ちの場合は、ラジオに話しかけます。
8C1ED8FD412633EA482715BF37F6DBBF,/w - Speak to people right beside you.,/w - 近くにいる人に話しかけます。
240B9554410291F327A0FDB0CBD09A49,/y - Yell to people distant from you.,/y - 遠くにいる人に向かって叫びます。
B9EF204747FF2F74AE51BA84854CFE47,0.017,0.017
4606B9ED421E5BB9097A02A4AA3BB3B9,0.018,0.018
31E4690D4B1BE43D6F7D218E9ABDBBC2,0.019,0.019
54601E5740E16236BD2691A867568F56,0.020,0.02
5108184E4254CD248481E49EA287C5FE,1 Month,1ヶ月後
A84FF45C452A7B3749CD96B5EAC1CF57,1 Week,1週間後
