key,source,Translation
61A6C598448FC2000472CAAD0FA16726, Battery,电池
D015228A40A78FA42B18F8B7B6DB61D4, Condition,状态
1DE742984A083081077685920991836F, Experimental,实验性
EFD7A1254F9C2C39CBFAEE957C07F225, Fuel,燃料
41D2BE0D4A950C71A37C9B992D537C6A, PSI,磅/平方英寸
3A80B5934E262ED76E9ABDBA03914BE1, per sq. m.,每平方米
317AFAA04884CB2B9D2952864ECBCF67, to get a perk.,获得一个技能
2744CE9C46C06ECF827A91B99798C44E,"""America"" Flag","""美国""国旗"
18901C7B40CC7798041B4CBEAAC89294,"""Fair prices, always. That's Frank's promise!""","""公平价格，始终如一。这是弗兰克的承诺！"""
C5EA20B94A9EB946E9D29EB2CFA07AC9,"""Fair prices, always. That's Frank's promise!""","""公平价格，始终如一。这是弗兰克的承诺！"""
FDC848BF493383FA461F91853C6FC986,"""For God's sake, man!""","""看在上帝的份上，老兄！"""
2ADAA88A4059DB75B4D45296CF22F2EC,"""Hand"" Grenade","""手""榴弹"
AD2686BE44636AB1E2C11F8CE1680C55,"""Hand"" Grenade","""手""榴弹"
88A3D7244F5A545FE49033B98A6486B8,"""In a wreck? Call Heck!""","""车辆抛锚了？打电话给赫克！"""
1527C4464C09D13AFE06E7B2EF2AECC6,"""Nectar"" Jar","""花蜜""罐"
BDF4AD254E0A7481F291B59BA3552E68,"""Private"" means the server won't appear in the server browser.","""私人""""意味着服务器不会出现在服务器浏览器中。"""""""
B3F805674565E357DB9DA1B2AB45125E,"""You take a sip from your trusty canteen.""","""你从可靠的水壶中喝了一口水。"""
C58E0F104DE4C48D0E5C88929CFCBB82,"""You take a sip from your trusty insulated canteen.""","""你从可靠的保温水壶中喝了一口水。"""
3219A53F47D41C713877ABA84080DF3E,$,$
4591D096429DE63DC8C12A8A260A20DC,$1 CAD,1$加元
C5573E2B4E362A799BD8BEB34A4F49AA,$1 USD,1$美元
418C1A584A6F34B16EEDC1A811D73A7B,${Dollars},${Dollars}
2B9CA4A54895FAAB4F2C6E9F31F34902,(Almost) everything can be thrown.,(几乎)所有东西都可以投掷。
7FCEE7394002353CCD52F69CD8FA1850,(Default is 0.06),(默认值为0.06)
46F8943D40217862746ED5BEBCBDADFD,(Default is 0.3),(默认值为0.3)
29FF1ACE4682703FD7F7A69D733012A7,"(HOUSE KIT, USE FLAT ROOF)",(房屋套件，使用平屋顶)
B8BCA7BB4D7F3AC12F9B9B8BA9D9AE3D,+1 day,+1天
8B2D6F9646968758073D6BB3B5228040,+1 hour,+1小时
D066EF1741868A90AAC07E8F6AC5D279,+1 month,+1月
933AF96E45192EBC3F1FC282283AC239,+1 year,+1年
4D227B9C469F79259D3B5C9618A45ACD,- Basic<cf>- Heavy,- 基础<cf>- 重型
CF9BF3C845F4F931D53FD6AAA5CBED02,- Basic<cf>- Heavy,- 基础<cf>- 重型
75BD859344EE69BA602C8A987265D00A,- Basic<cf>- Heavy<cf>- Industrial,- 基础<cf>- 重型<cf>- 工业
DAA0EA334869133AECBC37ACC799FFAF,- Basic<cf>- Heavy<cf>- Industrial<cf>- Powered<cf>- Hydraulic,- 基础<cf>- 重型<cf>- 工业<cf>- 动力<cf>- 液压
234D85A04A1444C91BCF9D9F1472EED2,- Basic<cf>- Industrial,- 基础<cf>- 工业
3D03A167401A24422188459CC2B3366D,- Digging<cf>- Mining<cf>- Wrench,- 挖掘<cf>- 采矿<cf>- 扳手
F40AA3CA42F338FB508409ADCC31C736,- Pan<cf>- Pot<cf>- Oven Dish,- 平底锅<cf>- 锅<cf>- 烤箱盘
F989DF0449211032CB1BE8A93748D8B0,- Powered,- 动力
A8741C514C03A45D7250D4AC7C08994D,- Screwdriver<cf>- Powered<cf>- Industrial<cf>- Hydraulic,- 螺丝刀<cf>- 动力<cf>- 工业<cf>- 液压
1F3BC0D2437B4F3C5DF12DBC8A5F4C2B,-1 day,-1天
4CF78DF745EF724ED5CCCD97AF405032,-1 hour,-1小时
1486B205418C3DD4206458AF968F6A60,-1 month,-1月
69DCF22942B8ACE67D04A2BE047C93E9,-1 year,-1年
