key,source,Translation
61A6C598448FC2000472CAAD0FA16726, Battery,電池
D015228A40A78FA42B18F8B7B6DB61D4, Condition,狀態
1DE742984A083081077685920991836F, Experimental,測試中
EFD7A1254F9C2C39CBFAEE957C07F225, Fuel,燃油
41D2BE0D4A950C71A37C9B992D537C6A, PSI,磅/平方英寸
3A80B5934E262ED76E9ABDBA03914BE1, per sq. m.,每平方公尺
317AFAA04884CB2B9D2952864ECBCF67, to get a perk.,取得天賦
2744CE9C46C06ECF827A91B99798C44E,"""America"" Flag",美國國旗
18901C7B40CC7798041B4CBEAAC89294,"""Fair prices, always. That's Frank's promise!""","[價錢公道, 這是法蘭克的承諾!]"
C5EA20B94A9EB946E9D29EB2CFA07AC9,"""Fair prices, always. That's Frank's promise!""","[價錢公道, 這是法蘭克的承諾!]"
FDC848BF493383FA461F91853C6FC986,"""For God's sake, man!""","[拜託你了, 兄弟!]"
2ADAA88A4059DB75B4D45296CF22F2EC,"""Hand"" Grenade",手榴彈
AD2686BE44636AB1E2C11F8CE1680C55,"""Hand"" Grenade",手榴彈
88A3D7244F5A545FE49033B98A6486B8,"""In a wreck? Call Heck!""",[出車禍了嗎?趕緊打電話!]
1527C4464C09D13AFE06E7B2EF2AECC6,"""Nectar"" Jar",花蜜罐
BDF4AD254E0A7481F291B59BA3552E68,"""Private"" means the server won't appear in the server browser.",私密＝不會顯示於伺服器清單
B3F805674565E357DB9DA1B2AB45125E,"""You take a sip from your trusty canteen.""","[你拿起你信賴的水壺, 喝了一口]"
C58E0F104DE4C48D0E5C88929CFCBB82,"""You take a sip from your trusty insulated canteen.""","[你拿起你保溫水壺, 喝了一口]"
3219A53F47D41C713877ABA84080DF3E,$,$
4591D096429DE63DC8C12A8A260A20DC,$1 CAD,$1 加拿大幣
C5573E2B4E362A799BD8BEB34A4F49AA,$1 USD,$1 美元
418C1A584A6F34B16EEDC1A811D73A7B,${Dollars},${Dollars}
2B9CA4A54895FAAB4F2C6E9F31F34902,(Almost) everything can be thrown.,(幾乎)所有物品皆可投擲
7FCEE7394002353CCD52F69CD8FA1850,(Default is 0.06),(預設為0.06)
46F8943D40217862746ED5BEBCBDADFD,(Default is 0.3),(預設為03)
29FF1ACE4682703FD7F7A69D733012A7,"(HOUSE KIT, USE FLAT ROOF)","(房屋組件, 使用平屋頂)"
B8BCA7BB4D7F3AC12F9B9B8BA9D9AE3D,+1 day,+1 天
